Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,Atelectasis,0.5,0.2,1,0.8842888550651108,0.7936077908986175
MedSigLIP,Cardiomegaly,1.5,0.5,2,0.8971312269819732,0.8256590088055995
MedSigLIP,Consolidation,1.5,0.5,1,0.9119080101344766,0.7891314352027853
MedSigLIP,Edema,1.0,0.5,2,0.9651711924439197,0.8683274903063563
MedSigLIP,Enlarged_Cardiomediastinum,1.5,0.5,2,0.8670090127855796,0.7615140415140416
MedSigLIP,Fracture,0.67,0.2,2,0.6724809978561684,0.6817151536394438
MedSigLIP,Lung_Lesion,0.67,0.2,2,0.8545102324657262,0.7262218706047819
MedSigLIP,Lung_Opacity,0.5,0.2,2,0.7871409028727769,0.7213813945553362
MedSigLIP,Pleural_Effusion,1.5,0.5,1,0.9526275115919629,0.9165208515602217
MedSigLIP,Pneumonia,0.67,0.2,2,0.7916902404526167,0.733045429754209
MedSigLIP,Pneumothorax,1.0,0.2,1,0.9075617283950618,0.9018008834522595
MedSigLIP,Pleural_Other,1.0,0.2,2,0.8938005390835579,0.8009595435684647
MedSigLIP,Support_Devices,1.0,0.5,2,0.9125622578859989,0.888902983789857
MedSigLIP,No_Finding,0.67,0.5,1,0.8845938656643617,0.8195176151761518
BioViL-T,Atelectasis,2.0,0.2,2,0.7821241332656856,0.6639544930875576
BioViL-T,Cardiomegaly,1.5,0.2,2,0.8361698003489049,0.7867041092797471
BioViL-T,Consolidation,0.67,0.2,1,0.8061781329175599,0.5999119630244703
BioViL-T,Edema,1.0,0.2,2,0.8929555293191657,0.7914844591999802
BioViL-T,Enlarged_Cardiomediastinum,0.67,0.2,2,0.7921819325089081,0.5929670329670329
BioViL-T,Fracture,0.5,0.5,1,0.7376729682323134,0.5725668886552167
BioViL-T,Lung_Lesion,1.0,0.2,1,0.6838366779256905,0.5557093881856541
BioViL-T,Lung_Opacity,1.5,0.2,2,0.6228758169934641,0.5491457678340768
BioViL-T,Pleural_Effusion,2.0,0.2,1,0.8377279752704792,0.7766729479327904
BioViL-T,Pneumonia,1.0,0.2,1,0.6450495049504951,0.5175022129234731
BioViL-T,Pneumothorax,0.67,0.2,2,0.8009259259259259,0.6962962962962964
BioViL-T,Pleural_Other,1.0,0.2,2,0.8086253369272238,0.6150155601659751
BioViL-T,Support_Devices,0.5,0.5,2,0.815688987271721,0.6812881128639128
BioViL-T,No_Finding,0.67,0.2,2,0.7939990818580897,0.6877723577235773
EVA-X,Atelectasis,1.0,0.5,1,0.8666666666666666,0.7803229406682028
EVA-X,Cardiomegaly,1.0,0.2,1,0.8992634231440202,0.8359604312485889
EVA-X,Consolidation,0.67,0.5,1,0.9262327031767686,0.7503151323555893
EVA-X,Edema,2.0,0.2,1,0.973435655253837,0.879947474697422
EVA-X,Enlarged_Cardiomediastinum,1.0,0.2,2,0.8101027038356738,0.6278388278388278
EVA-X,Fracture,1.0,0.5,1,0.6752095108166049,0.6733496903843907
EVA-X,Lung_Lesion,2.0,0.5,1,0.8272402145837474,0.6642492967651195
EVA-X,Lung_Opacity,2.0,0.5,1,0.7713786289709683,0.7283858545977431
EVA-X,Pleural_Effusion,1.0,0.5,1,0.9497990726429676,0.9083383807793256
EVA-X,Pneumonia,1.0,0.2,2,0.7676449787835926,0.7038616632243412
EVA-X,Pneumothorax,0.5,0.2,1,0.894753086419753,0.9121304791029562
EVA-X,Pleural_Other,1.5,0.2,1,0.8649595687331537,0.7971343360995851
EVA-X,Support_Devices,0.67,0.2,1,0.8685666851134477,0.8282395368012831
EVA-X,No_Finding,0.67,0.2,1,0.8764955670960893,0.799550135501355
CheXFound,Atelectasis,1.0,0.5,1,0.8589717571452732,0.7564984158986174
