Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.8314463583233109,0.7979911148420037
MedSigLIP,l2,0.8290241912696864,0.7975120988281044
MedSigLIP,pca_95,0.8330909600416495,0.8016737401630861
BioViL-T,raw,0.7123827916146019,0.6389980510779194
BioViL-T,l2,0.7292416128162165,0.6332577630131654
BioViL-T,pca_95,0.5230554914591631,0.5020862257495171
EVA-X,raw,0.8282288672999256,0.77448972802347
EVA-X,l2,0.8306849617053974,0.7842687631168216
EVA-X,pca_95,0.8107595882453527,0.76278143773653
CheXFound,raw,0.800695059850126,0.7895805423707457
CheXFound,l2,0.8044476862633093,0.7915502416138497
CheXFound,pca_95,0.7951705159923763,0.7883483834134776
CheXagent,raw,0.8494233324390567,0.8329665575494815
CheXagent,l2,0.8512738008932103,0.8213316192616708
CheXagent,pca_95,0.8544535588039669,0.8331262583555014
CXR_Foundation,raw,0.8221251161776534,0.7880933949535593
CXR_Foundation,l2,0.8130367785372641,0.7822597771181297
CXR_Foundation,pca_95,0.8130241718807714,0.7815011521090104
Early_Fusion,raw,0.844505407174008,0.8230839496079213
Early_Fusion,l2,0.843195084253585,0.8126892615310991
Early_Fusion,pca_95,0.8431112392706922,0.8286654887814665
