Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,Atelectasis,0.5,0.2,1,0.8820691503618333,0.7980191863563688
MedSigLIP,Cardiomegaly,2.0,0.2,1,0.9077442498417387,0.8355327996923151
MedSigLIP,Consolidation,1.5,0.2,2,0.9272689163697337,0.800483604623732
MedSigLIP,Edema,1.5,0.2,2,0.9647776465958284,0.8638491189427313
MedSigLIP,Enlarged_Cardiomediastinum,1.5,0.5,2,0.8640615864353928,0.6784371184371185
MedSigLIP,Fracture,2.0,0.2,1,0.7065637065637066,0.7413896376160527
MedSigLIP,Lung_Lesion,0.67,0.5,2,0.8551062984303597,0.7274174382889044
MedSigLIP,Lung_Opacity,2.0,0.2,2,0.7716383307573416,0.7400263749145257
MedSigLIP,Pleural_Effusion,2.0,0.2,2,0.9507709284860374,0.9097457146100579
MedSigLIP,Pneumonia,1.0,0.2,2,0.7871215413588295,0.7405373134328359
MedSigLIP,Pneumothorax,1.0,0.5,1,0.8843360995850622,0.8984029901461095
MedSigLIP,Pleural_Other,1.5,0.2,1,0.9121293800539084,0.7967525724535071
MedSigLIP,Support_Devices,2.0,0.5,2,0.9127507324768988,0.8903421354764637
MedSigLIP,No_Finding,0.5,0.5,1,0.887313465177759,0.8169079055273085
BioViL-T,Atelectasis,2.0,0.2,2,0.7771709997319755,0.6725972641677029
BioViL-T,Cardiomegaly,2.0,0.2,1,0.8420341844270943,0.7744685624544281
BioViL-T,Consolidation,1.5,0.2,1,0.8125130999790401,0.6128607375953448
BioViL-T,Edema,1.5,0.2,2,0.9031877213695394,0.781750600720865
BioViL-T,Enlarged_Cardiomediastinum,1.5,0.2,1,0.8077372831806665,0.5823687423687424
BioViL-T,Fracture,1.5,0.5,1,0.8100386100386101,0.6053958270939404
BioViL-T,Lung_Lesion,2.0,0.2,2,0.7065865289091993,0.5670470596148242
BioViL-T,Lung_Opacity,0.5,0.2,2,0.6205100463678516,0.5734883266582006
BioViL-T,Pleural_Effusion,1.0,0.2,2,0.8379824050516507,0.7847144965376319
BioViL-T,Pneumonia,1.5,0.2,1,0.6324424163407215,0.5413363949483353
BioViL-T,Pneumothorax,1.0,0.2,2,0.7897648686030428,0.6852191641182467
BioViL-T,Pleural_Other,1.0,0.2,2,0.852021563342318,0.6091758708581139
BioViL-T,Support_Devices,1.5,0.2,2,0.8141480730223123,0.6882755453501722
BioViL-T,No_Finding,0.67,0.2,1,0.8021755774814728,0.7091756191569625
EVA-X,Atelectasis,1.0,0.5,1,0.8683328866255696,0.787280156333274
EVA-X,Cardiomegaly,2.0,0.5,2,0.9156995146655412,0.8438418948262462
EVA-X,Consolidation,0.5,0.2,1,0.9175225319639488,0.7615789887552095
EVA-X,Edema,2.0,0.5,1,0.974025974025974,0.8806442731277533
EVA-X,Enlarged_Cardiomediastinum,1.0,0.5,2,0.8072500487234457,0.6379487179487179
EVA-X,Fracture,0.67,0.2,1,0.7994208494208495,0.6608765099331136
EVA-X,Lung_Lesion,0.67,0.5,2,0.8366779256904431,0.6839226061027285
EVA-X,Lung_Opacity,1.5,0.5,1,0.7677434312210202,0.7255445931425222
EVA-X,Pleural_Effusion,0.67,0.2,1,0.9515832388192379,0.9064649789987512
EVA-X,Pneumonia,2.0,0.2,1,0.7365638128349993,0.7146360505166475
EVA-X,Pneumothorax,0.5,0.2,1,0.88865836791148,0.9047230716955488
EVA-X,Pleural_Other,0.67,0.5,1,0.8749326145552562,0.7867144969948708
EVA-X,Support_Devices,0.67,0.5,1,0.8701262114041018,0.8342778415614235
EVA-X,No_Finding,0.67,0.2,1,0.8831529982809182,0.7965956618008857
CheXFound,Atelectasis,0.5,0.5,1,0.8570088448137229,0.7602860188310535
CheXFound,Cardiomegaly,0.67,0.2,2,0.9099810086516142,0.82429909537431
CheXFound,Consolidation,2.0,0.5,2,0.8967721651645357,0.7564284029252182
