Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.8360520470812114,0.8033763422379805
MedSigLIP,l2,0.8315982176335112,0.8087112086613997
MedSigLIP,pca_95,0.8346955375606014,0.8067958214192689
BioViL-T,raw,0.7250719951771739,0.6420710959323428
BioViL-T,l2,0.7244743173210614,0.6362096030381453
BioViL-T,pca_95,0.5542950318469041,0.5761321783398866
EVA-X,raw,0.8208462693137397,0.7745634462556767
EVA-X,l2,0.8368738211614606,0.7807904301180709
EVA-X,pca_95,0.8143117084653273,0.7665506972090553
CheXFound,raw,0.802646756466067,0.7953480292720589
CheXFound,l2,0.8059449165977458,0.7758831976804924
CheXFound,pca_95,0.8059917659890349,0.7893211722393215
CheXagent,raw,0.8579503612477641,0.8345475005382249
CheXagent,l2,0.8588623941002341,0.8340786659645906
CheXagent,pca_95,0.856817883854114,0.8355697372791805
CXR_Foundation,raw,0.8306206432978075,0.7899028660811199
CXR_Foundation,l2,0.8341547451552589,0.795942721249634
CXR_Foundation,pca_95,0.8156778103959358,0.783306169049086
Early_Fusion,raw,0.8470997800169673,0.825259929239422
Early_Fusion,l2,0.8475585322704706,0.8217399185972213
Early_Fusion,pca_95,0.8474144197813441,0.8318174432128753
