Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.7953954405947826,0.7740183441424735
MedSigLIP,l2,0.793597071317803,0.766065091997712
BioViL-T,raw,0.723507567218833,0.639036349124222
BioViL-T,l2,0.7068228490351257,0.6423695484980616
EVA-X,raw,0.7976094322329625,0.7861299828429213
EVA-X,l2,0.801190582076505,0.7857935828990715
CheXFound,raw,0.7713722464392216,0.7540908040465661
CheXFound,l2,0.7615307133252136,0.7458210712749562
CheXagent,raw,0.8272864113900219,0.7785726638838387
CheXagent,l2,0.8238267473119415,0.7889603455460416
CXR_Foundation,raw,0.8211558284380942,0.7754256763896538
CXR_Foundation,l2,0.7969689003413657,0.7653154141068913
Early_Fusion,raw,0.8048919962979124,0.7824878183424165
Early_Fusion,l2,0.8061819497353694,0.7749505390914483
