Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.8395666881904563,0.7855789112273436
MedSigLIP,l2,0.8365587100738255,0.7868050920499087
MedSigLIP,pca_95,0.8292907188510515,0.762915429952842
BioViL-T,raw,0.6989674331060761,0.6158801858504998
BioViL-T,l2,0.7179993092747131,0.6312220160347117
BioViL-T,pca_95,0.6809421094128473,0.5942814374859561
EVA-X,raw,0.8121116956744319,0.7420968898519166
EVA-X,l2,0.8066335801304144,0.7427589731512363
EVA-X,pca_95,0.8223450992656633,0.7361700893858948
CheXFound,raw,0.8031920927367222,0.7425878904330946
CheXFound,l2,0.8031038458126221,0.7423234041828707
CheXFound,pca_95,0.7887667606351715,0.7280995272378694
CheXagent,raw,0.8712996440105311,0.8201314826786535
CheXagent,l2,0.8686823281385218,0.8191947474159343
CheXagent,pca_95,0.8509340765100665,0.8190344264984615
CXR_Foundation,raw,0.8283655256879721,0.7938925607426601
CXR_Foundation,l2,0.8283655256879721,0.7938925607426601
CXR_Foundation,pca_95,0.8120060823421512,0.7596412485504725
