Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.8321865807219055,0.7726440877927285
MedSigLIP,l2,0.8266750457213263,0.7806726298335268
MedSigLIP,pca_95,0.8278999257230943,0.7710125277516987
BioViL-T,raw,0.6891499661954182,0.6251369639174923
BioViL-T,l2,0.7196436505065266,0.6304327783941883
BioViL-T,pca_95,0.6708469607298445,0.6091172612637431
EVA-X,raw,0.8040250894995546,0.7300573037399818
EVA-X,l2,0.8078351389391276,0.7364587501359309
EVA-X,pca_95,0.8092323898465841,0.735269734818421
CheXFound,raw,0.8042218138030892,0.7423830936212054
CheXFound,l2,0.8051639702719294,0.7368478829229852
CheXFound,pca_95,0.7892778305683041,0.728064202040386
CheXagent,raw,0.8605159698658346,0.8128609441667433
CheXagent,l2,0.8688869855055901,0.8172373172489799
CheXagent,pca_95,0.8494832514726424,0.8178915945410686
CXR_Foundation,raw,0.8266576654267349,0.7799628473633942
CXR_Foundation,l2,0.8266576654267349,0.7799628473633942
CXR_Foundation,pca_95,0.8192414794496105,0.7524084673669634
