Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.819486997420931,0.7577490980862421
MedSigLIP,l2,0.8120355277635282,0.7637728816528373
MedSigLIP,pca_95,0.8118437438535259,0.7436694756246045
BioViL-T,raw,0.6903398054099125,0.612750786101973
BioViL-T,l2,0.711551148823426,0.6232696808045731
BioViL-T,pca_95,0.6275696325650288,0.5431795184687183
EVA-X,raw,0.7967494353000265,0.7127861496923885
EVA-X,l2,0.8050538405674035,0.7107049278650445
EVA-X,pca_95,0.7914180677263936,0.7206877788009118
CheXFound,raw,0.782469664005771,0.7193295848330046
CheXFound,l2,0.7813364022337138,0.718029797924501
CheXFound,pca_95,0.761027147453319,0.6848990513348291
CheXagent,raw,0.8469706239022834,0.7883763350619161
CheXagent,l2,0.8581439133595276,0.7937845491115035
CheXagent,pca_95,0.8435288297214203,0.7822564574804522
CXR_Foundation,raw,0.8225834149484947,0.7628945552479101
CXR_Foundation,l2,0.8225834149484947,0.7628945552479101
CXR_Foundation,pca_95,0.8114431851784882,0.7335384330832417
