Model,Variant,Val_AUC,Test_AUC
MedSigLIP,raw,0.806972953356641,0.7721831561684558
MedSigLIP,l2,0.8087350479362776,0.770893845246969
MedSigLIP,pca_95,0.7922075020741529,0.7625713627292681
BioViL-T,raw,0.683482839452427,0.6242830355702954
BioViL-T,l2,0.6809737245678251,0.6247461884090278
BioViL-T,pca_95,0.49734462177405137,0.4839718937639014
EVA-X,raw,0.8129492383916812,0.7457863764559536
EVA-X,l2,0.7963003789990261,0.751397702140504
EVA-X,pca_95,0.7981162885409628,0.7412000403167859
CheXFound,raw,0.7569441273817744,0.7242843680755102
CheXFound,l2,0.7533713766043838,0.7169383404990574
CheXFound,pca_95,0.7451780586483434,0.7219750993832875
CheXagent,raw,0.8368611862543202,0.8090903257638274
CheXagent,l2,0.8330254795065356,0.8145167630057367
CheXagent,pca_95,0.8124876337821141,0.8002868116469829
CXR_Foundation,raw,0.802791754708773,0.7723227361610132
CXR_Foundation,l2,0.8126726309125915,0.7641670286842321
CXR_Foundation,pca_95,0.7980160588238954,0.7632054150825077
Early_Fusion,raw,0.8292278686889901,0.8031344299428118
Early_Fusion,l2,0.8283551672438968,0.7877727446958875
Early_Fusion,pca_95,0.7994563704521983,0.7722320370872303
