Model,Disease,Best_Alpha,Best_Dropout,Best_Depth,Val_AUC,Test_AUC
MedSigLIP,Atelectasis,0.67,0.2,1,0.8887705056654829,0.7884324596774194
MedSigLIP,Cardiomegaly,1.0,0.5,2,0.8797829036635006,0.8281285278843982
MedSigLIP,Consolidation,1.5,0.5,2,0.9028454492301695,0.7881910402368995
MedSigLIP,Edema,1.5,0.2,2,0.9605798242161878,0.8491755757343011
MedSigLIP,Enlarged_Cardiomediastinum,1.5,0.2,2,0.8032907147348565,0.6337973137973137
MedSigLIP,Fracture,1.0,0.5,1,0.6655622685636329,0.6839817735716789
MedSigLIP,Lung_Lesion,0.5,0.5,1,0.8119908603218757,0.6896097046413502
MedSigLIP,Lung_Opacity,0.5,0.5,2,0.735719714242286,0.7248616899417515
MedSigLIP,Pleural_Effusion,1.5,0.2,2,0.9397990726429676,0.9066615070552078
MedSigLIP,Pneumonia,0.67,0.5,2,0.7457920792079208,0.7046931859839238
MedSigLIP,Pneumothorax,0.5,0.5,2,0.8893518518518518,0.8414542983350323
MedSigLIP,Pleural_Other,1.0,0.2,1,0.8207547169811321,0.8067297717842323
MedSigLIP,Support_Devices,0.67,0.5,2,0.8673768677365801,0.8565914300988555
MedSigLIP,No_Finding,2.0,0.5,1,0.86917195076464,0.786520325203252
BioViL-T,Atelectasis,0.5,0.2,1,0.7597327921528836,0.6242709533410138
BioViL-T,Cardiomegaly,1.5,0.2,1,0.8090133746850166,0.7439814292165274
BioViL-T,Consolidation,0.5,0.2,1,0.7144806080686026,0.5724604333820205
BioViL-T,Edema,2.0,0.2,1,0.8638987275350911,0.7475069063340065
BioViL-T,Enlarged_Cardiomediastinum,2.0,0.2,2,0.729302033116747,0.5832478632478633
BioViL-T,Fracture,2.0,0.2,2,0.6926525043851102,0.5101997896950579
BioViL-T,Lung_Lesion,1.5,0.2,1,0.601629246969998,0.6375483473980308
BioViL-T,Lung_Opacity,0.5,0.2,1,0.5969144246846025,0.5648217201628037
BioViL-T,Pleural_Effusion,0.67,0.5,1,0.773323029366306,0.7298102160306884
BioViL-T,Pneumonia,1.0,0.5,1,0.6223833097595474,0.5252899153277363
BioViL-T,Pneumothorax,0.67,0.2,2,0.7545267489711933,0.6699966021066939
BioViL-T,Pleural_Other,1.5,0.2,2,0.7700808625336927,0.5763744813278009
BioViL-T,Support_Devices,0.5,0.5,1,0.8018815716657444,0.6604749780270561
BioViL-T,No_Finding,2.0,0.2,1,0.7718776002065819,0.6821571815718156
EVA-X,Atelectasis,0.67,0.2,1,0.8540165736512769,0.7286146313364055
EVA-X,Cardiomegaly,1.0,0.2,1,0.8781352975382826,0.828918773989614
EVA-X,Consolidation,0.5,0.5,2,0.8913467160397583,0.7097180815942695
EVA-X,Edema,0.5,0.5,1,0.931785386330841,0.8217360603545457
EVA-X,Enlarged_Cardiomediastinum,1.5,0.5,2,0.8261370781806749,0.6547985347985348
EVA-X,Fracture,0.67,0.2,2,0.5668485675306958,0.5950695174669938
EVA-X,Lung_Lesion,1.0,0.2,1,0.8088615140075501,0.6551731715893108
EVA-X,Lung_Opacity,0.67,0.2,1,0.736935704514364,0.6989739465282347
EVA-X,Pleural_Effusion,1.5,0.5,1,0.9271406491499228,0.8890739619086077
EVA-X,Pneumonia,0.5,0.2,2,0.7296676096181046,0.6345949232406141
EVA-X,Pneumothorax,1.0,0.5,2,0.8127572016460904,0.8759089364593953
EVA-X,Pleural_Other,1.0,0.5,2,0.8307277628032345,0.66701244813278
EVA-X,Support_Devices,1.0,0.2,1,0.8444382955174322,0.7738644292018158
EVA-X,No_Finding,0.5,0.5,2,0.8596318824778355,0.7800325203252033
CheXFound,Atelectasis,0.67,0.2,2,0.8440723828851682,0.7606386808755761
CheXFound,Cardiomegaly,2.0,0.2,2,0.8855204496995541,0.8285659855497854
CheXFound,Consolidation,1.5,0.5,1,0.8374585850711362,0.6899497789071409
CheXFound,Edema,0.67,0.5,2,0.941361668634396,0.8563358646234654
CheXFound,Enlarged_Cardiomediastinum,0.5,0.2,2,0.8151330957870467,0.6179242979242979
CheXFound,Fracture,1.0,0.2,1,0.5470668485675307,0.6276901507185418
CheXFound,Lung_Lesion,1.0,0.5,1,0.7840751043115438,0.7450993319268636
CheXFound,Lung_Opacity,2.0,0.5,1,0.7298677610579115,0.68593989910068
CheXFound,Pleural_Effusion,0.5,0.2,2,0.9122565687789799,0.8739372322049487
CheXFound,Pneumonia,0.67,0.2,2,0.7308698727015559,0.6327172912028469
CheXFound,Pneumothorax,1.5,0.5,2,0.8074074074074074,0.7808358817533129
CheXFound,Pleural_Other,0.5,0.2,2,0.7070080862533693,0.6816001037344398
CheXFound,Support_Devices,2.0,0.5,2,0.8061704482567792,0.7697869757074381
CheXFound,No_Finding,1.0,0.5,2,0.8533985596648782,0.7667154471544715
CheXagent,Atelectasis,1.5,0.5,2,0.9018095721292068,0.7726724510368662
CheXagent,Cardiomegaly,0.5,0.5,2,0.8932932738902888,0.8518641341160532
CheXagent,Consolidation,0.5,0.5,1,0.889300331319431,0.7815082334580524
CheXagent,Edema,1.5,0.2,2,0.9698281516463335,0.8616131709673822
CheXagent,Enlarged_Cardiomediastinum,0.5,0.2,2,0.8375602599035842,0.6077167277167277
CheXagent,Fracture,1.0,0.2,2,0.6821282401091405,0.8198153989952097
CheXagent,Lung_Lesion,1.0,0.2,2,0.8332008742300815,0.7821729957805907
CheXagent,Lung_Opacity,1.0,0.2,1,0.7974768201854384,0.7496088323462748
CheXagent,Pleural_Effusion,0.5,0.2,2,0.9540340030911902,0.9291899410009646
CheXagent,Pneumonia,2.0,0.5,2,0.7993988684582745,0.775032858560661
CheXagent,Pneumothorax,0.67,0.2,1,0.9456275720164609,0.9211009174311927
CheXagent,Pleural_Other,1.0,0.5,1,0.8293800539083558,0.8524053423236515
CheXagent,Support_Devices,0.5,0.5,2,0.874322080796901,0.8821887770357819
CheXagent,No_Finding,1.5,0.2,2,0.8880942816974148,0.8174742547425474
CXR_Foundation,Atelectasis,0.5,0.5,2,0.8756976154236429,0.775804651497696
CXR_Foundation,Cardiomegaly,0.5,0.5,1,0.8847063384376816,0.7944583991871755
CXR_Foundation,Consolidation,1.5,0.5,1,0.9026505554472811,0.7492746953720563
CXR_Foundation,Edema,0.5,0.5,2,0.9626131444313263,0.8621458568189984
CXR_Foundation,Enlarged_Cardiomediastinum,1.5,0.5,1,0.8113603018235171,0.6545543345543345
CXR_Foundation,Fracture,0.5,0.2,1,0.6392516078737088,0.6688631849515131
CXR_Foundation,Lung_Lesion,1.5,0.5,1,0.8165110272203457,0.7088827355836849
CXR_Foundation,Lung_Opacity,1.0,0.2,2,0.7495060039519684,0.7155955253345031
CXR_Foundation,Pleural_Effusion,2.0,0.5,2,0.9435085007727975,0.9000942189918568
CXR_Foundation,Pneumonia,0.5,0.5,1,0.7684229137199434,0.6961901951843209
CXR_Foundation,Pneumothorax,2.0,0.2,1,0.8834362139917695,0.8495412844036696
CXR_Foundation,Pleural_Other,0.5,0.2,2,0.8256064690026954,0.7499027489626556
CXR_Foundation,Support_Devices,2.0,0.2,2,0.8547039291643608,0.8243886085010375
CXR_Foundation,No_Finding,1.0,0.5,2,0.8733035893610307,0.7787371273712737
Early_Fusion,Atelectasis,0.5,0.2,2,0.8858954845256215,0.794444844470046
Early_Fusion,Cardiomegaly,0.5,0.2,1,0.8947664276022484,0.8400316098442087
Early_Fusion,Consolidation,2.0,0.5,1,0.8974858702007407,0.7380699893955461
Early_Fusion,Edema,0.5,0.2,2,0.9645808736717828,0.8767265835016043
Early_Fusion,Enlarged_Cardiomediastinum,1.5,0.2,1,0.8211066862293022,0.6792185592185592
Early_Fusion,Fracture,1.0,0.2,2,0.7122393295653868,0.8175721462787708
Early_Fusion,Lung_Lesion,0.67,0.2,1,0.8353864494337374,0.7421105836849506
Early_Fusion,Lung_Opacity,1.0,0.2,2,0.758610731114151,0.7327484097389779
Early_Fusion,Pleural_Effusion,2.0,0.2,2,0.9521638330757342,0.9181921170110148
Early_Fusion,Pneumonia,1.5,0.2,1,0.8046676096181047,0.7334835438963547
Early_Fusion,Pneumothorax,1.0,0.5,1,0.8881687242798354,0.9188583078491335
Early_Fusion,Pleural_Other,1.5,0.5,1,0.8296495956873315,0.7417984958506224
Early_Fusion,Support_Devices,1.0,0.2,2,0.8601549529607084,0.8375814358072905
Early_Fusion,No_Finding,1.0,0.2,2,0.8797664476515651,0.7922655826558265
