ViewCode,Split,Total_Population,Expected_1_pct,Actual_1_pct,Expected_5_pct,Actual_5_pct,Expected_10_pct,Actual_10_pct
antero-posterior,train,142849,1428.49,1428,7142.450000000001,7142,14284.900000000001,14285
postero-anterior,train,94115,941.15,941,4705.75,4706,9411.5,9412
lateral,train,81083,810.83,811,4054.15,4054,8108.3,8108
left lateral,train,34230,342.3,343,1711.5,1712,3423.0,3423
,train,16037,160.37,161,801.85,802,1603.7,1604
antero-posterior,test,2392,23.92,24,119.60000000000001,119,239.20000000000002,239
antero-posterior,validate,1207,12.07,12,60.35,61,120.7,120
postero-anterior,test,996,9.96,10,49.800000000000004,50,99.60000000000001,99
lateral,test,898,8.98,9,44.900000000000006,45,89.80000000000001,90
postero-anterior,validate,747,7.47,7,37.35,38,74.7,74
lateral,validate,631,6.3100000000000005,6,31.55,31,63.1,63
Erect,train,607,6.07,7,30.35,30,60.7,60
left lateral,test,528,5.28,5,26.400000000000002,27,52.800000000000004,53
,test,332,3.3200000000000003,3,16.6,16,33.2,33
left lateral,validate,275,2.75,3,13.75,14,27.5,27
,validate,128,1.28,1,6.4,6,12.8,13
left anterior oblique,train,21,0.21,0,1.05,1,2.1,2
Recumbent,train,18,0.18,0,0.9,1,1.8,1
Erect,test,13,0.13,0,0.65,0,1.3,1
Erect,validate,3,0.03,0,0.15000000000000002,0,0.30000000000000004,0
