Model,Head,Label,Var,Filename
BioViL-T,LR,10pct,l2,BioViL-T_LR_10pct_l2.npy
BioViL-T,LR,10pct,pca95,BioViL-T_LR_10pct_pca95.npy
BioViL-T,LR,10pct,raw,BioViL-T_LR_10pct_raw.npy
BioViL-T,LR,1pct,l2,BioViL-T_LR_1pct_l2.npy
BioViL-T,LR,1pct,pca95,BioViL-T_LR_1pct_pca95.npy
BioViL-T,LR,1pct,raw,BioViL-T_LR_1pct_raw.npy
BioViL-T,LR,5pct,l2,BioViL-T_LR_5pct_l2.npy
BioViL-T,LR,5pct,pca95,BioViL-T_LR_5pct_pca95.npy
BioViL-T,LR,5pct,raw,BioViL-T_LR_5pct_raw.npy
BioViL-T,LR,CheXpert,l2,BioViL-T_LR_CheXpert_l2.npy
BioViL-T,LR,CheXpert,pca95,BioViL-T_LR_CheXpert_pca95.npy
BioViL-T,LR,CheXpert,raw,BioViL-T_LR_CheXpert_raw.npy
BioViL-T,LR,NegBio,l2,BioViL-T_LR_NegBio_l2.npy
BioViL-T,LR,NegBio,pca95,BioViL-T_LR_NegBio_pca95.npy
BioViL-T,LR,NegBio,raw,BioViL-T_LR_NegBio_raw.npy
BioViL-T,XGB,10pct,l2,BioViL-T_XGB_10pct_l2.npy
BioViL-T,XGB,10pct,pca95,BioViL-T_XGB_10pct_pca95.npy
BioViL-T,XGB,10pct,raw,BioViL-T_XGB_10pct_raw.npy
BioViL-T,XGB,1pct,l2,BioViL-T_XGB_1pct_l2.npy
BioViL-T,XGB,1pct,pca95,BioViL-T_XGB_1pct_pca95.npy
BioViL-T,XGB,1pct,raw,BioViL-T_XGB_1pct_raw.npy
BioViL-T,XGB,5pct,l2,BioViL-T_XGB_5pct_l2.npy
BioViL-T,XGB,5pct,pca95,BioViL-T_XGB_5pct_pca95.npy
BioViL-T,XGB,5pct,raw,BioViL-T_XGB_5pct_raw.npy
BioViL-T,XGB,CheXpert,l2,BioViL-T_XGB_CheXpert_l2.npy
BioViL-T,XGB,CheXpert,pca95,BioViL-T_XGB_CheXpert_pca95.npy
BioViL-T,XGB,CheXpert,raw,BioViL-T_XGB_CheXpert_raw.npy
BioViL-T,XGB,NegBio,l2,BioViL-T_XGB_NegBio_l2.npy
BioViL-T,XGB,NegBio,pca95,BioViL-T_XGB_NegBio_pca95.npy
BioViL-T,XGB,NegBio,raw,BioViL-T_XGB_NegBio_raw.npy
BioViL-T,i2,10pct,raw,BioViL-T_i2_10pct_raw.npy
BioViL-T,i2,1pct,raw,BioViL-T_i2_1pct_raw.npy
BioViL-T,i2,5pct,raw,BioViL-T_i2_5pct_raw.npy
BioViL-T,i2,CheXpert,raw,BioViL-T_i2_CheXpert_raw.npy
BioViL-T,i2,NegBio,raw,BioViL-T_i2_NegBio_raw.npy
BioViL-T,i4,10pct,raw,BioViL-T_i4_10pct_raw.npy
BioViL-T,i4,1pct,raw,BioViL-T_i4_1pct_raw.npy
BioViL-T,i4,5pct,raw,BioViL-T_i4_5pct_raw.npy
BioViL-T,i4,CheXpert,raw,BioViL-T_i4_CheXpert_raw.npy
BioViL-T,i4,NegBio,raw,BioViL-T_i4_NegBio_raw.npy
BioViL-T,s2,10pct,raw,BioViL-T_s2_10pct_raw.npy
BioViL-T,s2,1pct,raw,BioViL-T_s2_1pct_raw.npy
BioViL-T,s2,5pct,raw,BioViL-T_s2_5pct_raw.npy
BioViL-T,s2,CheXpert,raw,BioViL-T_s2_CheXpert_raw.npy
BioViL-T,s2,NegBio,raw,BioViL-T_s2_NegBio_raw.npy
BioViL-T,s4,10pct,raw,BioViL-T_s4_10pct_raw.npy
BioViL-T,s4,1pct,raw,BioViL-T_s4_1pct_raw.npy
BioViL-T,s4,5pct,raw,BioViL-T_s4_5pct_raw.npy
BioViL-T,s4,CheXpert,raw,BioViL-T_s4_CheXpert_raw.npy
BioViL-T,s4,NegBio,raw,BioViL-T_s4_NegBio_raw.npy
CXR_Foundation,LR,10pct,l2,CXR_Foundation_LR_10pct_l2.npy
