Model,Head,Label,Var,Disease,AUC,AUPRC
CheXagent,i4,CheXpert,raw,Atelectasis,0.7359912735262919,0.3521770221736368
CheXagent,i4,CheXpert,raw,Cardiomegaly,0.7703045935790899,0.40486915753500635
CheXagent,i4,CheXpert,raw,Consolidation,0.6482794387599504,0.3048320736275143
CheXagent,i4,CheXpert,raw,Edema,0.7959772186770977,0.43729117461269984
CheXagent,i4,CheXpert,raw,Enlarged_Cardiomediastinum,0.6688636428317541,0.3050074380467506
CheXagent,i4,CheXpert,raw,Fracture,0.7079472898970154,0.30136482279768173
CheXagent,i4,CheXpert,raw,Lung_Lesion,0.6547498675870094,0.3029726534192543
CheXagent,i4,CheXpert,raw,Lung_Opacity,0.7254409781852602,0.36630739448440963
CheXagent,i4,CheXpert,raw,Pleural_Effusion,0.8060519171679066,0.506046969005485
CheXagent,i4,CheXpert,raw,Pneumonia,0.7459541373936854,0.4360291944995996
CheXagent,i4,CheXpert,raw,Pneumothorax,0.7494003614724327,0.38643916322380173
CheXagent,i4,CheXpert,raw,Pleural_Other,0.7385733388757743,0.36785187514373363
CheXagent,i4,CheXpert,raw,Support_Devices,0.7222453182251155,0.3811702716559908
CheXagent,i4,CheXpert,raw,No_Finding,0.8292710027100271,0.7805576565633296
MedSigLIP,LR,5pct,l2,Atelectasis,0.7630958381336406,0.3035282091780022
MedSigLIP,LR,5pct,l2,Cardiomegaly,0.7855681305034996,0.36728064163053536
MedSigLIP,LR,5pct,l2,Consolidation,0.7887312671321955,0.16978568607351166
MedSigLIP,LR,5pct,l2,Edema,0.8189115865366747,0.3924655581309958
MedSigLIP,LR,5pct,l2,Enlarged_Cardiomediastinum,0.6980219780219781,0.04458429614464381
MedSigLIP,LR,5pct,l2,Fracture,0.6581376329010398,0.10304180307257113
MedSigLIP,LR,5pct,l2,Lung_Lesion,0.6268679676511956,0.081267018922965
MedSigLIP,LR,5pct,l2,Lung_Opacity,0.7183495405912603,0.4998285111480969
MedSigLIP,LR,5pct,l2,Pleural_Effusion,0.8900161518271755,0.7634559539882524
MedSigLIP,LR,5pct,l2,Pneumonia,0.7064545836574484,0.2618664319542341
MedSigLIP,LR,5pct,l2,Pneumothorax,0.873802242609582,0.08122734530236679
MedSigLIP,LR,5pct,l2,Pleural_Other,0.7863718879668049,0.09737833664984127
MedSigLIP,LR,5pct,l2,Support_Devices,0.8287650752516695,0.4140529579956515
MedSigLIP,LR,5pct,l2,No_Finding,0.7731653116531165,0.5497918717220587
MedSigLIP,s2,NegBio,raw,Atelectasis,0.7977082963226151,0.35093307487957764
MedSigLIP,s2,NegBio,raw,Cardiomegaly,0.8360856710175235,0.41148073405962887
MedSigLIP,s2,NegBio,raw,Consolidation,0.8194346150821734,0.17200089094516965
MedSigLIP,s2,NegBio,raw,Edema,0.8726096315578694,0.38658104282466765
MedSigLIP,s2,NegBio,raw,Enlarged_Cardiomediastinum,0.7323076923076923,0.0752235771988528
MedSigLIP,s2,NegBio,raw,Fracture,0.7366476989118499,0.1823009571754619
